"model","dist","n","parameter","Me","Mpe","std"
3,"std",500,"beta",-0.0836419032018947,-0.517348160267893,0.101477927473825
3,"std",1000,"beta",-0.0347968844308262,-0.306014073856916,0.139195438396704
3,"std",2500,"beta",-0.00750002724823345,-0.121884933964313,0.0360008740556433
3,"std",5000,"beta",-0.0030918897966791,-0.0762964429815688,0.0171040409314858
3,"std",10000,"beta",0.00448176918771631,0.157411881883146,0.320316932237179
1,"snorm",100,"omega",0.0379552063980038,0.0410966395139328,7.15293527790684
1,"snorm",250,"omega",-0.0898710533894314,-0.152428046778907,0.420829006708468
1,"snorm",500,"omega",-0.0232694095418441,-0.0625139785460405,0.161300324626724
1,"snorm",1000,"omega",-0.00359863118739526,-0.0149720914586679,0.0679324004485919
1,"snorm",2500,"omega",-0.00129161542340742,-0.00858893202007309,0.0256851260422942
1,"snorm",5000,"omega",0.000242494611401189,0.00231180301106234,0.0131612380968397
1,"snorm",10000,"omega",-0.000869340853874773,-0.0115835305250344,0.00647274439354956
1,"snorm",100,"alpha",-0.0575206461231612,-0.244908003086143,0.79455318402963
1,"snorm",250,"alpha",-0.0258566523791049,-0.178350848030459,0.0532866602037342
1,"snorm",500,"alpha",-0.00455256255480091,-0.0480508050551508,0.0264461260112316
1,"snorm",1000,"alpha",-0.0020666995631934,-0.0310628035514929,0.0133205147162266
1,"snorm",2500,"alpha",0.000456134071724214,0.0111182711177468,0.00544092646338681
1,"snorm",5000,"alpha",-0.000294424471015253,-0.00988287364355331,0.00284477409558302
1,"snorm",10000,"alpha",0.000147834182052598,0.00712127305009675,0.00143752304953602
1,"snorm",100,"beta",-0.0673174833150027,-0.231676976476105,2.07850127648777
1,"snorm",250,"beta",-0.0492168608261891,-0.293468498393194,0.097064920581948
1,"snorm",500,"beta",-0.0105419215814716,-0.106241477530376,0.0396461102702828
1,"snorm",1000,"beta",-0.00297971796791133,-0.0457362808323542,0.0180182927156095
1,"snorm",2500,"beta",0.000141249834740113,0.00353985582934367,0.00711917602560397
1,"snorm",5000,"beta",-0.000748480639510819,-0.0256996479320359,0.0035317478234416
1,"snorm",10000,"beta",-0.0006416928361824,-0.0310084135347251,0.00179639044685244
2,"snorm",100,"omega",-0.0488831014422483,-0.0923548774293207,3.10096513335842
2,"snorm",250,"omega",-0.00524255950846003,-0.0169432842638467,1.00948191894641
2,"snorm",500,"omega",-0.00424330665169761,-0.0212314765742905,0.133529106011562
2,"snorm",1000,"omega",-0.000572969757395542,-0.00405521697667873,0.287238485317186
2,"snorm",2500,"omega",-0.00139193935221005,-0.016105528452866,0.0112065218049606
2,"snorm",5000,"omega",-0.000572535281430912,-0.00938495786107644,0.00546237684900774
2,"snorm",10000,"omega",-0.000118222988905986,-0.00274218205372464,0.00294898835850274
2,"snorm",100,"alpha",-0.090175824291747,-0.26324330880755,1.74016921323889
2,"snorm",250,"alpha",-0.0194152045775841,-0.100889671076905,0.249446550587996
2,"snorm",500,"alpha",0.00423592935036636,0.0358619893944952,0.0362751101321897
2,"snorm",1000,"alpha",0.00652991341562968,0.0782886921955326,0.0595160600892998
2,"snorm",2500,"alpha",0.000198754635278318,0.00347416766642743,0.00591905074773379
2,"snorm",5000,"alpha",-0.00039255216218323,-0.00948066792900141,0.00303974894309579
2,"snorm",10000,"alpha",-0.000185964477212534,-0.00637115490224498,0.00158424695860594
2,"snorm",100,"beta",-0.222254938882925,-0.605558814326403,0.456170771667717
2,"snorm",250,"beta",-0.0749646081317975,-0.435961424088742,0.367957885844447
2,"snorm",500,"beta",-0.0192328500478546,-0.248357737662235,0.061808836227203
2,"snorm",1000,"beta",-0.000741514409903186,-0.0167009367952128,0.131230143429497
2,"snorm",2500,"beta",-0.00141048694771261,-0.0502115364758663,0.00663420485882758
2,"snorm",5000,"beta",-0.000765478933823168,-0.0384693413023221,0.0031718693762168
2,"snorm",10000,"beta",-0.000551449349000083,-0.0385123130148804,0.00170192679061194
3,"snorm",100,"omega",-0.597104096219116,-0.438872982861946,2.80655608239553
3,"snorm",250,"omega",-0.398397760162739,-0.325331294452645,7.48783604277133
3,"snorm",500,"omega",-0.160459011950442,-0.155100478476943,13.3209809129029
3,"snorm",1000,"omega",-0.131497554553073,-0.2016567703806,0.465635710786154
3,"snorm",2500,"omega",-0.00951649228743434,-0.0292717074307224,0.159136940578693
3,"snorm",5000,"omega",-0.00426406992407571,-0.0198475210437072,0.0597924948676354
3,"snorm",10000,"omega",-0.000397711296620196,-0.00269906184188543,0.0272452976907554
3,"snorm",100,"alpha",-0.0595788017909269,-0.469541377562501,0.194499504164216
3,"snorm",250,"alpha",-0.0230701757947134,-0.264745660175809,0.708468175690914
3,"snorm",500,"alpha",-0.0226777095038166,-0.364001857221168,0.0397641715106272
3,"snorm",1000,"alpha",-0.00699802857018526,-0.178863336019348,0.0150740462378181
3,"snorm",2500,"alpha",-0.000571202483414954,-0.0267957420576467,0.00594263932578017
3,"snorm",5000,"alpha",-7.66270575534612e-05,-0.00521486643617484,0.00258064589358681
3,"snorm",10000,"alpha",-0.000195031001196508,-0.0185271092917427,0.00121925633440263
3,"snorm",100,"beta",-0.129873583401404,-0.59277342155934,0.482913386052826
3,"snorm",250,"beta",-0.104215281738594,-0.544058455749294,0.278802905195157
3,"snorm",500,"beta",-0.0405953012443752,-0.268249185160531,1.49741107885467
3,"snorm",1000,"beta",-0.0225429838242072,-0.237724411183928,0.0600450357615101
3,"snorm",2500,"beta",-0.00165482684445688,-0.0353416493933419,0.0218693283407487
3,"snorm",5000,"beta",-0.000582645535422702,-0.0187246197109844,0.00821116242013218
3,"snorm",10000,"beta",-0.000214784300301741,-0.00992042364193966,0.00373005771599381
