"model","dist","n","parameter","std_err","std"
2,"std",5000,"beta",0.0548762342572534,0.0210466548502731
2,"std",10000,"beta",0.0396690609490661,0.0145634185898399
3,"std",100,"omega",1.33751605986587,2.03435140189921
3,"std",250,"omega",1.14733711106032,1.35153758182982
3,"std",500,"omega",1.05412451855767,0.960466521556369
3,"std",1000,"omega",0.749280432704369,0.615256331388264
3,"std",2500,"omega",0.417072252491995,0.294799106447403
3,"std",5000,"omega",0.275864910231338,0.191843217867205
3,"std",10000,"omega",0.189031347535037,0.131791237167115
3,"std",100,"alpha",0.142479109716725,0.11975783911974
3,"std",250,"alpha",0.102745681238779,0.0803187560370665
3,"std",500,"alpha",0.0836979694531163,0.0591064351569385
3,"std",1000,"alpha",0.0554946296228095,0.0364303730810383
3,"std",2500,"alpha",0.0318507176038715,0.0203273223680445
3,"std",5000,"alpha",0.0210074874258584,0.0141729375722904
3,"std",10000,"alpha",0.0146981922689202,0.0100845745933994
3,"std",100,"beta",0.21631888356162,0.259794029306696
3,"std",250,"beta",0.186905520678677,0.192896587728759
3,"std",500,"beta",0.161674302965692,0.139984899251391
3,"std",1000,"beta",0.113710078730223,0.0881907467289012
3,"std",2500,"beta",0.0615336695381021,0.0427353424546186
3,"std",5000,"beta",0.0405246912680584,0.0284895442292186
3,"std",10000,"beta",0.0284716066798777,0.0197386697663468
1,"snorm",100,"omega",0.92355985420988,0.559711993269585
1,"snorm",250,"omega",0.589596568929254,0.256459038186159
1,"snorm",500,"omega",0.372227301525955,0.154301517616104
1,"snorm",1000,"omega",0.240355944747578,0.0996481363722282
1,"snorm",2500,"omega",0.150381376914941,0.0621126568385523
1,"snorm",5000,"omega",0.104894149821942,0.0433695324292313
1,"snorm",10000,"omega",0.0750497313401946,0.0307852841668625
1,"snorm",100,"alpha",0.234866339189941,0.134000044985949
1,"snorm",250,"alpha",0.144976335490645,0.0623490975716791
1,"snorm",500,"alpha",0.0947447716968667,0.0412057588732264
1,"snorm",1000,"alpha",0.0665329373688831,0.0257352888426666
1,"snorm",2500,"alpha",0.0410256295150186,0.0160071502541167
1,"snorm",5000,"alpha",0.0297913827125887,0.0113747559137465
1,"snorm",10000,"alpha",0.0207595160321215,0.00798547367144238
1,"snorm",100,"beta",0.290566133669937,0.172366000299975
1,"snorm",250,"beta",0.167707474893089,0.0700021651001241
1,"snorm",500,"beta",0.0992260445404428,0.0417110319273896
1,"snorm",1000,"beta",0.0651499840757375,0.0248665513716847
1,"snorm",2500,"beta",0.0399027083445663,0.0152962471476575
1,"snorm",5000,"beta",0.0291241592682598,0.0105057528836129
1,"snorm",10000,"beta",0.020694152426205,0.00749961929768782
2,"snorm",100,"omega",0.529296370726696,0.395199538854754
2,"snorm",250,"omega",0.309418140357033,0.252954798488878
2,"snorm",500,"omega",0.199859234323622,0.114905450515213
2,"snorm",1000,"omega",0.141292009944388,0.0806529926850045
2,"snorm",2500,"omega",0.0864261831757747,0.0418095557005086
2,"snorm",5000,"omega",0.0610056315548809,0.0319476317192163
2,"snorm",10000,"omega",0.0431127425494622,0.0316394536246396
2,"snorm",100,"alpha",0.342556947411993,0.270544045344071
2,"snorm",250,"alpha",0.192439963083877,0.15308301454883
2,"snorm",500,"alpha",0.118117522811397,0.0821864996996375
2,"snorm",1000,"alpha",0.0834081299930349,0.055052302663217
