"model","dist","n","parameter","std"
1,"std",250,"omega",0.395153480716261
1,"std",250,"omega",0.32289442737369
1,"std",250,"omega",0.0390226172759708
1,"std",250,"omega",0.376366394068708
1,"std",250,"omega",0.644860048968818
1,"std",250,"omega",0.463728603695868
1,"std",250,"omega",0.69633077247141
1,"std",250,"omega",0.405408947195794
1,"std",250,"omega",0.687415324565896
1,"std",250,"omega",0.673286546356631
1,"std",250,"omega",0.725980154898243
1,"std",250,"omega",0.2932454407999
1,"std",250,"omega",0.551737648470199
1,"std",250,"omega",0.207166771941955
1,"std",250,"omega",0.510407183401534
1,"std",250,"omega",0.397521918520237
1,"std",250,"omega",0.484377521161424
1,"std",250,"omega",0.329189492572827
1,"std",250,"omega",0.56281398848167
1,"std",250,"omega",0.123784945380226
1,"std",250,"omega",0.292241159128146
1,"std",250,"omega",0.378852320883102
1,"std",250,"omega",0.294860113380348
1,"std",250,"omega",0.309986146413896
1,"std",250,"omega",0.527150326885248
1,"std",250,"omega",0.43486094136218
1,"std",250,"omega",0.481173232275792
1,"std",250,"omega",0.175414559359168
1,"std",250,"omega",0.260617331018003
1,"std",250,"omega",0.466543355720548
1,"std",250,"omega",0.0963114400215563
1,"std",250,"omega",0.0904547763940994
1,"std",250,"omega",0.982154845981742
1,"std",250,"omega",0.556637741903582
1,"std",250,"omega",0.793004782478076
1,"std",250,"omega",0.674796657347951
1,"std",250,"omega",0.288178759884583
1,"std",250,"omega",0.110177547454946
1,"std",250,"omega",0.546877286009749
1,"std",250,"omega",0.561753022857006
1,"std",250,"omega",0.269456631638317
1,"std",250,"omega",0.328369527947516
1,"std",250,"omega",0.261767714832852
1,"std",250,"omega",0.419566365635654
1,"std",250,"omega",0.505346217828878
1,"std",250,"omega",0.405828259494222
1,"std",250,"omega",0.268884177658009
1,"std",250,"omega",0.352119795153972
1,"std",250,"omega",0.622275004640331
1,"std",250,"omega",0.156248782291983
1,"std",250,"omega",0.228437682558807
1,"std",250,"omega",0.777578068730815
1,"std",250,"omega",0.0318026193198012
1,"std",250,"omega",0.553611503806722
1,"std",250,"omega",0.23858979069167
1,"std",500,"omega",0.372734594094897
1,"std",500,"omega",0.849145757938047
1,"std",500,"omega",0.14726967772028
1,"std",500,"omega",0.339179143783221
1,"std",500,"omega",0.25000231545233
1,"std",500,"omega",0.484911831647797
1,"std",500,"omega",0.249717560493531
1,"std",500,"omega",0.683335745906399
1,"std",500,"omega",0.218553865314813
1,"std",500,"omega",0.240423086097751
1,"std",500,"omega",0.264087920823212
1,"std",500,"omega",0.401023201976604
1,"std",500,"omega",0.199281996841757
1,"std",500,"omega",0.239107108152958
1,"std",500,"omega",0.292189781201721
1,"std",500,"omega",0.47943100465354
1,"std",500,"omega",0.316784082069589
1,"std",500,"omega",0.309995586928586
1,"std",500,"omega",0.768604436825778
1,"std",500,"omega",0.269729920017281
1,"std",500,"omega",0.751116391775023
1,"std",500,"omega",0.288703490919102
1,"std",500,"omega",0.442234815546543
1,"std",500,"omega",0.264289809341235
1,"std",500,"omega",0.351289861997613
1,"std",500,"omega",0.766749483409543
1,"std",500,"omega",0.260939843045672
1,"std",500,"omega",0.354139880913647
1,"std",500,"omega",0.535437371926789
1,"std",500,"omega",0.227803883766211
1,"std",500,"omega",0.194498029167846
1,"std",500,"omega",0.224645835649518
1,"std",500,"omega",3.99418630634466
1,"std",500,"omega",0.25670071546695
1,"std",500,"omega",0.927142957343668
1,"std",500,"omega",0.296478370008296
1,"std",500,"omega",0.349357193241866
1,"std",500,"omega",0.38531946352883
1,"std",500,"omega",0.279500018214612
1,"std",500,"omega",0.509774563721682
1,"std",500,"omega",0.272168626600908
1,"std",500,"omega",0.316087092920018
1,"std",500,"omega",0.28632224031007
1,"std",500,"omega",0.316426900043186
1,"std",500,"omega",0.371273088491541
1,"std",500,"omega",0.350956238882013
1,"std",500,"omega",0.300496914841461
1,"std",500,"omega",0.26619427919246
1,"std",500,"omega",0.290227684582204
1,"std",500,"omega",0.370856204666521
1,"std",500,"omega",0.493779190226042
1,"std",500,"omega",0.753230083544844
1,"std",500,"omega",0.0336636139969064
1,"std",500,"omega",0.382410863649288
1,"std",500,"omega",0.279161837362413
1,"std",500,"omega",0.24841064292578
1,"std",500,"omega",0.351348263647919
1,"std",500,"omega",0.17892797555914
1,"std",500,"omega",0.179853611934665
1,"std",500,"omega",0.330260268543711
1,"std",500,"omega",0.515630216609317
1,"std",500,"omega",0.404941810042901
1,"std",500,"omega",0.337712198707179
1,"std",500,"omega",0.470565987303604
1,"std",500,"omega",0.255644803642628
1,"std",500,"omega",0.451390897007317
1,"std",500,"omega",0.155137580791678
1,"std",500,"omega",0.296185623100308
1,"std",500,"omega",0.206812444555948
1,"std",500,"omega",0.53326029747293
1,"std",500,"omega",0.249895302379378
1,"std",500,"omega",0.664943127652356
1,"std",500,"omega",0.226780795595803
1,"std",500,"omega",0.154563932398223
1,"std",500,"omega",0.669627050172263
1,"std",500,"omega",0.211875143014998
1,"std",500,"omega",0.175716999434776
1,"std",500,"omega",0.454685179903131
1,"std",500,"omega",0.586961358455898
1,"std",500,"omega",0.315025059042661
1,"std",500,"omega",0.564383213691811
1,"std",500,"omega",0.494430527681997
1,"std",500,"omega",0.381221808370994
1,"std",500,"omega",0.251407063942801
1,"std",500,"omega",0.292835766494183
1,"std",500,"omega",0.232760307953777
1,"std",500,"omega",0.335420481557277
1,"std",500,"omega",0.424573092791223
1,"std",500,"omega",0.415731331676669
1,"std",500,"omega",0.405592441052481
1,"std",500,"omega",0.211940333665837
1,"std",500,"omega",0.72425285161497
1,"std",500,"omega",0.413088081878244
1,"std",500,"omega",0.375310977565292
1,"std",500,"omega",0.28448365568655
1,"std",500,"omega",0.231548572169932
1,"std",500,"omega",0.2336389966964
1,"std",500,"omega",1.10374348248265
1,"std",500,"omega",0.32261333634066
1,"std",500,"omega",0.304145096030396
1,"std",1000,"omega",0.147524739404978
1,"std",1000,"omega",1.59120854458451
1,"std",1000,"omega",0.221961587198427
1,"std",1000,"omega",0.115896030669839
1,"std",1000,"omega",0.278795306600646
1,"std",1000,"omega",0.467618803165451
1,"std",1000,"omega",0.360387208366716
1,"std",1000,"omega",0.265627032406209
1,"std",1000,"omega",0.1908574549963
1,"std",1000,"omega",0.473823457082858
1,"std",1000,"omega",0.25264546157482
1,"std",1000,"omega",0.14363220625197
1,"std",1000,"omega",0.183643240210989
1,"std",1000,"omega",0.349763733832736
1,"std",1000,"omega",0.166838870025403
1,"std",1000,"omega",0.390320819344223
1,"std",1000,"omega",0.220905667406017
1,"std",1000,"omega",0.185266947160212
1,"std",1000,"omega",0.287712829944974
1,"std",1000,"omega",0.399861758418126
1,"std",1000,"omega",0.198145672111066
1,"std",1000,"omega",0.272709515685987
1,"std",1000,"omega",0.355129105098371
1,"std",1000,"omega",0.293988502188201
1,"std",1000,"omega",0.252295146432073
1,"std",1000,"omega",0.186645231300038
1,"std",1000,"omega",0.33122913538825
1,"std",1000,"omega",0.144561973278061
1,"std",1000,"omega",0.339332556675797
1,"std",1000,"omega",0.18928069845786
1,"std",1000,"omega",0.195744635304322
1,"std",1000,"omega",0.155571597893885
1,"std",1000,"omega",0.231564820727814
1,"std",1000,"omega",0.248639162424417
1,"std",1000,"omega",0.270318711231986
1,"std",1000,"omega",0.1801573992998
1,"std",1000,"omega",0.31082926531569
1,"std",1000,"omega",0.241894753062156
1,"std",1000,"omega",0.221531891578261
1,"std",1000,"omega",0.225474112237478
1,"std",1000,"omega",0.168859796407013
1,"std",1000,"omega",0.382219194978416
1,"std",1000,"omega",0.264274764966248
1,"std",1000,"omega",0.199240874091486
1,"std",1000,"omega",0.28364560662554
1,"std",1000,"omega",0.251635361912784
1,"std",1000,"omega",0.284609663272564
1,"std",1000,"omega",0.190992385609977
1,"std",1000,"omega",0.262222342881708
1,"std",1000,"omega",0.374833401920038
1,"std",1000,"omega",0.231147704132054
1,"std",1000,"omega",0.224594135194996
1,"std",1000,"omega",0.183291954314654
1,"std",1000,"omega",0.382470107708866
1,"std",1000,"omega",0.258657898546373
1,"std",1000,"omega",0.283913992708785
1,"std",1000,"omega",0.247527132338757
1,"std",1000,"omega",0.307866492446707
1,"std",1000,"omega",0.2492620262278
1,"std",1000,"omega",0.23490487329665
1,"std",1000,"omega",0.235994827845595
1,"std",1000,"omega",0.266596762818848
1,"std",1000,"omega",0.254076677135939
1,"std",1000,"omega",0.112931305045106
1,"std",1000,"omega",0.17582045199574
1,"std",1000,"omega",0.687089667444
1,"std",1000,"omega",0.197007703027664
1,"std",1000,"omega",0.325081416159735
1,"std",1000,"omega",0.343993104265698
1,"std",1000,"omega",0.844933236935439
1,"std",1000,"omega",0.218168646202009
1,"std",1000,"omega",0.418507457945694
1,"std",1000,"omega",0.3535026160997
1,"std",1000,"omega",0.354056490910303
1,"std",1000,"omega",0.252456887710322
1,"std",1000,"omega",0.33962884467474
1,"std",1000,"omega",0.213138336779081
1,"std",1000,"omega",0.270078629383154
1,"std",1000,"omega",0.133668802306729
1,"std",1000,"omega",0.248596168586647
1,"std",1000,"omega",0.219829029153049
1,"std",1000,"omega",0.150751187105017
1,"std",1000,"omega",0.541567700875199
1,"std",1000,"omega",0.243195602391801
1,"std",1000,"omega",0.226491946450936
1,"std",1000,"omega",0.198104986026964
1,"std",1000,"omega",0.202860194066634
1,"std",1000,"omega",0.314571007761337
1,"std",1000,"omega",0.513525287756514
1,"std",1000,"omega",0.292448981687711
1,"std",1000,"omega",0.163523290627808
1,"std",1000,"omega",0.212839497695419
1,"std",1000,"omega",0.249796443080828
1,"std",1000,"omega",0.245516424372894
1,"std",1000,"omega",0.254775568128176
1,"std",1000,"omega",0.121404225967197
1,"std",1000,"omega",0.15306904641498
1,"std",1000,"omega",0.243384426435109
1,"std",1000,"omega",0.20500804173096
1,"std",1000,"omega",0.304530427411816
1,"std",2500,"omega",0.144050877208634
1,"std",2500,"omega",0.208934183422122
1,"std",2500,"omega",0.137608016672079
1,"std",2500,"omega",0.380267319243838
1,"std",2500,"omega",0.193444975755805
1,"std",2500,"omega",0.175471779712008
1,"std",2500,"omega",0.162693178394338
1,"std",2500,"omega",0.181675064755006
1,"std",2500,"omega",0.116393540981575
1,"std",2500,"omega",0.140400286462568
1,"std",2500,"omega",0.197666800063786
1,"std",2500,"omega",0.151935656116155
1,"std",2500,"omega",0.288593133869894
1,"std",2500,"omega",0.164418893204956
1,"std",2500,"omega",0.226845314133616
1,"std",2500,"omega",0.208321993103742
1,"std",2500,"omega",0.17882454588568
1,"std",2500,"omega",0.219785184154
1,"std",2500,"omega",0.154924493832199
1,"std",2500,"omega",0.159698596340557
1,"std",2500,"omega",0.112480622835944
1,"std",2500,"omega",0.285623702614068
1,"std",2500,"omega",0.137089817100303
1,"std",2500,"omega",0.327323160280559
1,"std",2500,"omega",0.189457806302961
1,"std",2500,"omega",0.114733789363669
1,"std",2500,"omega",0.184959677058193
1,"std",2500,"omega",0.169941565242276
1,"std",2500,"omega",0.157870272031024
1,"std",2500,"omega",0.187752714937503
1,"std",2500,"omega",0.206476128991488
1,"std",2500,"omega",0.207531691958544
1,"std",2500,"omega",0.222323154624347
1,"std",2500,"omega",0.118984275711677
1,"std",2500,"omega",0.289452472484057
1,"std",2500,"omega",0.146349240330949
1,"std",2500,"omega",0.190495783692603
1,"std",2500,"omega",0.200043233219163
1,"std",2500,"omega",0.193289443638814
1,"std",2500,"omega",0.202714874600452
1,"std",2500,"omega",0.154961513550515
1,"std",2500,"omega",0.180695081330033
1,"std",2500,"omega",0.183258575476042
1,"std",2500,"omega",0.183729530567461
1,"std",2500,"omega",0.191412060576221
1,"std",2500,"omega",0.160816350120091
1,"std",2500,"omega",0.16610484954361
1,"std",2500,"omega",0.129588822896341
1,"std",2500,"omega",0.19701974983934
1,"std",2500,"omega",0.180479386723482
1,"std",2500,"omega",0.148750654177296
1,"std",2500,"omega",0.223235485511691
1,"std",2500,"omega",0.189571571383277
1,"std",2500,"omega",0.245221869599739
1,"std",2500,"omega",0.192896076723355
1,"std",2500,"omega",0.382432058745153
1,"std",2500,"omega",0.21234204901262
1,"std",2500,"omega",0.150490708913916
1,"std",2500,"omega",0.132846410807846
1,"std",2500,"omega",0.227146349705186
1,"std",2500,"omega",0.163273672643566
1,"std",2500,"omega",0.185236595381848
1,"std",2500,"omega",0.20011776304949
1,"std",2500,"omega",0.145176760933053
1,"std",2500,"omega",0.104439269227935
1,"std",2500,"omega",0.214044481069216
1,"std",2500,"omega",0.150322426809587
1,"std",2500,"omega",0.109553135239636
1,"std",2500,"omega",0.178356435928057
1,"std",2500,"omega",0.158723356747389
1,"std",2500,"omega",0.158407498228169
1,"std",2500,"omega",0.125391651928257
1,"std",2500,"omega",0.169791030490712
1,"std",2500,"omega",0.166216520832949
1,"std",2500,"omega",0.461594067322512
1,"std",2500,"omega",0.209037172017272
1,"std",2500,"omega",0.185120209492232
